cartodb_id,countyfp,statefp,statename,countyname,countyfips,tractname,ratio,statemhir,tractmhir,cty_pop200,cz,cz_name,cz_pop2000,state_id,le_agg_q1,le_raceadj,le_agg_q2,le_racea_1,le_agg_q3,le_racea_2,le_agg_q4,le_racea_3,le_agg_q11,le_racea_4,le_agg_q21,le_racea_5,le_agg_q31,le_racea_6,le_agg_q41,le_racea_7,sd_le_agg,sd_le_race,sd_le_agg1,sd_le_ra_1,sd_le_ag_1,sd_le_ra_2,sd_le_ag_2,sd_le_ra_3,sd_le_ag_3,sd_le_ra_4,sd_le_ag_4,sd_le_ra_5,sd_le_ag_5,sd_le_ra_6,sd_le_ag_6,sd_le_ra_7,count_q1_F,count_q2_F,count_q3_F,count_q4_F,count_q1_M,count_q2_M,count_q3_M,count_q4_M,Diversity,BlackorA,AmericanI,Asianalon,NativeHaw,TwoorMor,Hispanico,Whitealon,county,lon,lat
80,"057","12",Florida,"Hillsborough County, Florida",12057,"Census Tract 108.14, Hillsborough County, Florida",0.575,47212,27143,998948,6700,Tampa,2395997,12,82.24564,81.7347,83.81905,83.35596,86.11938,85.85786,87.37678,87.2688,75.97211,75.61586,79.17127,78.83177,81.89676,81.75233,84.99164,84.98339,0.1998542,0.2217076,0.2460837,0.254051,0.2671799,0.2708291,0.2967007,0.2965231,0.1582353,0.1646681,0.2053828,0.2059761,0.2522318,0.2500585,0.2756482,0.2719503,768933,726127,621408,624002,779477,659654,590842,625287,0.626423,17.4,0.5,3.9,0.1,2.5,26,52.3,County,-82.4307048862305,27.8739516691473
398,"213","48",Texas,"Henderson County, Texas",48213,"Census Tract 9509.01, Henderson County, Texas",0.752,52576,39558,73277,33300,Tyler,434643,48,81.33939,81.69736,82.77975,83.1631,86.20832,86.53061,85.37238,85.73277,74.46993,74.90141,78.81706,79.19968,81.65376,82.07423,83.11811,83.45219,0.5907173,0.5672838,0.7558215,0.7267162,0.8259727,0.7849455,1.290979,1.239241,0.4536277,0.4523053,0.6074929,0.5974237,0.7985667,0.7720352,1.091163,1.058647,65946,50915,43472,27391,56088,50789,41193,23997,0.350927,6.6,0.8,0.6,0.1,1.6,11.8,79.4,County,-95.8535915070293,32.211895020493
409,"409","48",Texas,"San Patricio County, Texas",48409,"Census Tract 102.01, San Patricio County, Texas",0.708,52576,37231,67138,31700,Corpus Christi,503493,48,82.79809,80.54712,81.91861,80.36366,85.73961,84.90908,88.56724,88.05104,75.96359,73.76263,80.22489,78.80262,82.2315,81.41426,84.61347,84.13074,0.7815551,0.851168,0.9715137,0.9967877,1.046768,1.074108,1.16206,1.210417,0.5951415,0.5873773,0.8208023,0.8232757,0.9266846,0.9373479,1.188727,1.200859,53278,38770,38584,27710,44657,43930,42536,26325,0.52578,2.1,0.9,1.1,0.1,1.4,55.4,40.8,County,-97.24467451043,27.8598285104593
647,"005","24",Maryland,"Baltimore County, Maryland",24005,"Census Tract 4209, Baltimore County, Maryland",0.485,74149,35996,754292,11302,Baltimore,2512431,24,81.00573,81.64223,83.2253,83.71624,84.97765,85.38557,87.48778,87.66544,74.87498,75.61564,78.85033,79.43711,81.48167,81.95025,84.86589,85.12315,0.2760596,0.2727309,0.2682924,0.2682079,0.2646567,0.260372,0.2741327,0.2701159,0.2183265,0.2234235,0.2223854,0.2221517,0.2452043,0.2439218,0.2510692,0.2477703,348801,506959,554835,620077,314133,417941,487826,577610,0.552251,27.5,0.4,5.7,0.1,2.3,4.8,60.5,County,-76.640195236714,39.4634173302367
712,"031","13",Georgia,"Bulloch County, Georgia",13031,"Census Tract 1104.03, Bulloch County, Georgia",0.367,49342,18103,55983,8702,Statesboro,111346,13,82.87151,84.09408,81.56238,82.29461,87.26794,87.59277,87.71574,87.86391,74.25021,75.58818,80.37264,81.07909,81.39969,81.8803,84.82716,85.02849,0.8563169,0.8145575,1.294025,1.256831,1.237927,1.191608,1.30402,1.265734,0.6561423,0.669405,1.005267,0.9746791,1.240342,1.21029,1.347847,1.31348,36569,25216,23776,20114,29896,24472,23160,18911,0.497338,28.9,0.4,1.6,0.1,1.6,3.6,64.6,County,-81.7431793686246,32.3968032390109
722,"179","13",Georgia,"Liberty County, Georgia",13179,"Census Tract 102.05, Liberty County, Georgia",1.044,49342,51497,61610,8701,Hinesville,131279,13,80.41011,81.27271,81.15737,81.55753,84.66052,85.19653,87.58868,87.69944,72.70919,74.16271,79.1208,79.76913,78.92409,79.63135,79.45534,79.81433,1.050722,1.03244,1.283218,1.259035,1.214902,1.176059,1.854852,1.841173,0.7279044,0.7580916,1.038904,1.027062,1.099227,1.097501,1.450326,1.433941,37850,31745,28845,13429,25824,34408,30018,12118,0.63442,40.9,0.8,2.4,0.5,4.3,11.6,42.7,County,-81.4947317871655,31.8280902609307
805,"017","25",Massachusetts,"Middlesex County, Massachusetts",25017,"Census Tract 3521.01, Middlesex County, Massachusetts",0.969,67846,65711,1465396,20500,Boston,4974945,25,83.72817,83.51888,84.79338,84.87065,86.04283,86.16795,88.10573,88.1528,77.95573,77.88895,80.5099,80.7057,83.05364,83.29926,86.19845,86.36277,0.2337793,0.2349071,0.2364842,0.2395476,0.2171295,0.218142,0.1747276,0.1781089,0.2005993,0.2004839,0.207422,0.2071757,0.2091055,0.2105385,0.1681607,0.1705858,512749,713159,938920,1696220,500587,652933,857965,1645708,0.410254,5.4,0.3,10.5,0.1,2.1,7.3,75.5,County,-71.3918231973576,42.4855598824409
812,"023","25",Massachusetts,"Plymouth County, Massachusetts",25023,"Census Tract 5104, Plymouth County, Massachusetts",0.476,67846,32308,472822,20500,Boston,4974945,25,81.94443,82.38121,83.5712,83.98895,85.27387,85.58697,87.17969,87.48518,77.17532,77.65955,79.7753,80.22762,82.12917,82.50037,84.03807,84.4194,0.3778547,0.3665059,0.3795637,0.368923,0.3476641,0.3399056,0.3488252,0.3332289,0.3122157,0.309716,0.3128642,0.3145589,0.3273956,0.3234701,0.3173575,0.3146602,209335,287299,381564,495849,183795,256708,362828,474493,0.2801,9.6,0.3,1.4,0.1,1.7,3.5,84.2,County,-70.8962556436447,42.3411331475581
813,"023","25",Massachusetts,"Plymouth County, Massachusetts",25023,"Census Tract 5104, Plymouth County, Massachusetts",0.476,67846,32308,472822,20500,Boston,4974945,25,81.94443,82.38121,83.5712,83.98895,85.27387,85.58697,87.17969,87.48518,77.17532,77.65955,79.7753,80.22762,82.12917,82.50037,84.03807,84.4194,0.3778547,0.3665059,0.3795637,0.368923,0.3476641,0.3399056,0.3488252,0.3332289,0.3122157,0.309716,0.3128642,0.3145589,0.3273956,0.3234701,0.3173575,0.3146602,209335,287299,381564,495849,183795,256708,362828,474493,0.2801,9.6,0.3,1.4,0.1,1.7,3.5,84.2,County,-70.8963689987995,42.3325953020933
894,"027","27",Minnesota,"Clay County, Minnesota",27027,"Census Tract 205, Clay County, Minnesota",0.925,60828,56268,51229,26801,Fargo,206945,27,82.58788,82.90469,85.43519,85.68008,86.66488,86.96397,85.30056,85.78986,75.81297,76.09624,82.20786,82.44881,84.50808,84.81245,85.93463,86.30762,1.104885,1.053041,1.164113,1.122701,1.305433,1.250562,1.558472,1.490878,0.8540005,0.8385192,0.8889403,0.8656325,1.076895,1.043453,1.395724,1.328699,22846,30033,40960,25644,21088,33110,40520,23981,0.189081,1.6,1.5,1.4,0,2.1,4,89.9,County,-96.4906471093882,46.8923464416233
